profile	trials	width	height	frames	noise_amplitude	l1_amplitude	threshold	correct_decode_pct	wrong_key_pct	wrong_window_pct	naive_decode_pct	correct_score_mean	wrong_key_score_mean	wrong_window_score_mean	naive_score_mean	correct_wrong_key_margin_mean	correct_wrong_window_margin_mean	correct_naive_margin_mean	key_prefix	qr_prefix
baseline-64	48	41	41	64	0.300	0.350	2.000	100.00	0.00	0.00	0.00	11.760	1.933	1.930	1.930	9.827	9.830	9.829	temporal-eval	temporal-bootstrap
baseline-64	48	41	41	64	0.300	0.350	2.250	100.00	0.00	0.00	0.00	11.760	1.933	1.930	1.930	9.827	9.830	9.829	temporal-eval	temporal-bootstrap
baseline-64	48	41	41	64	0.300	0.350	2.500	100.00	0.00	0.00	0.00	11.760	1.933	1.930	1.930	9.827	9.830	9.829	temporal-eval	temporal-bootstrap
baseline-64	48	41	41	64	0.300	0.350	3.000	100.00	0.00	0.00	0.00	11.760	1.933	1.930	1.930	9.827	9.830	9.829	temporal-eval	temporal-bootstrap
baseline-64	48	41	41	64	0.300	0.350	4.000	100.00	0.00	0.00	0.00	11.760	1.933	1.930	1.930	9.827	9.830	9.829	temporal-eval	temporal-bootstrap
baseline-64	48	41	41	64	0.300	0.350	6.000	100.00	0.00	0.00	0.00	11.760	1.933	1.930	1.930	9.827	9.830	9.829	temporal-eval	temporal-bootstrap
low-snr-64	48	41	41	64	0.350	0.300	2.000	100.00	0.00	0.00	0.00	10.251	1.875	1.872	1.872	8.376	8.379	8.379	temporal-eval	temporal-bootstrap
low-snr-64	48	41	41	64	0.350	0.300	2.250	100.00	0.00	0.00	0.00	10.251	1.875	1.872	1.872	8.376	8.379	8.379	temporal-eval	temporal-bootstrap
low-snr-64	48	41	41	64	0.350	0.300	2.500	100.00	0.00	0.00	0.00	10.251	1.875	1.872	1.872	8.376	8.379	8.379	temporal-eval	temporal-bootstrap
low-snr-64	48	41	41	64	0.350	0.300	3.000	100.00	0.00	0.00	0.00	10.251	1.875	1.872	1.872	8.376	8.379	8.379	temporal-eval	temporal-bootstrap
low-snr-64	48	41	41	64	0.350	0.300	4.000	100.00	0.00	0.00	0.00	10.251	1.875	1.872	1.872	8.376	8.379	8.379	temporal-eval	temporal-bootstrap
low-snr-64	48	41	41	64	0.350	0.300	6.000	100.00	0.00	0.00	0.00	10.251	1.875	1.872	1.872	8.376	8.379	8.379	temporal-eval	temporal-bootstrap
tough-64	48	41	41	64	0.400	0.250	2.000	100.00	0.00	0.00	0.00	8.742	1.862	1.859	1.858	6.880	6.883	6.884	temporal-eval	temporal-bootstrap
tough-64	48	41	41	64	0.400	0.250	2.250	100.00	0.00	0.00	0.00	8.742	1.862	1.859	1.858	6.880	6.883	6.884	temporal-eval	temporal-bootstrap
tough-64	48	41	41	64	0.400	0.250	2.500	100.00	0.00	0.00	0.00	8.742	1.862	1.859	1.858	6.880	6.883	6.884	temporal-eval	temporal-bootstrap
tough-64	48	41	41	64	0.400	0.250	3.000	100.00	0.00	0.00	0.00	8.742	1.862	1.859	1.858	6.880	6.883	6.884	temporal-eval	temporal-bootstrap
tough-64	48	41	41	64	0.400	0.250	4.000	100.00	0.00	0.00	0.00	8.742	1.862	1.859	1.858	6.880	6.883	6.884	temporal-eval	temporal-bootstrap
tough-64	48	41	41	64	0.400	0.250	6.000	100.00	0.00	0.00	0.00	8.742	1.862	1.859	1.858	6.880	6.883	6.884	temporal-eval	temporal-bootstrap
baseline-96	48	41	41	96	0.300	0.350	2.000	100.00	0.00	0.00	0.00	17.497	2.360	2.355	2.344	15.136	15.142	15.153	temporal-eval	temporal-bootstrap
baseline-96	48	41	41	96	0.300	0.350	2.250	100.00	0.00	0.00	0.00	17.497	2.360	2.355	2.344	15.136	15.142	15.153	temporal-eval	temporal-bootstrap
baseline-96	48	41	41	96	0.300	0.350	2.500	100.00	0.00	0.00	0.00	17.497	2.360	2.355	2.344	15.136	15.142	15.153	temporal-eval	temporal-bootstrap
baseline-96	48	41	41	96	0.300	0.350	3.000	100.00	0.00	0.00	0.00	17.497	2.360	2.355	2.344	15.136	15.142	15.153	temporal-eval	temporal-bootstrap
baseline-96	48	41	41	96	0.300	0.350	4.000	100.00	0.00	0.00	0.00	17.497	2.360	2.355	2.344	15.136	15.142	15.153	temporal-eval	temporal-bootstrap
baseline-96	48	41	41	96	0.300	0.350	6.000	100.00	0.00	0.00	0.00	17.497	2.360	2.355	2.344	15.136	15.142	15.153	temporal-eval	temporal-bootstrap
low-snr-96	48	41	41	96	0.350	0.300	2.000	100.00	0.00	0.00	0.00	15.210	2.290	2.283	2.275	12.919	12.927	12.934	temporal-eval	temporal-bootstrap
low-snr-96	48	41	41	96	0.350	0.300	2.250	100.00	0.00	0.00	0.00	15.210	2.290	2.283	2.275	12.919	12.927	12.934	temporal-eval	temporal-bootstrap
low-snr-96	48	41	41	96	0.350	0.300	2.500	100.00	0.00	0.00	0.00	15.210	2.290	2.283	2.275	12.919	12.927	12.934	temporal-eval	temporal-bootstrap
low-snr-96	48	41	41	96	0.350	0.300	3.000	100.00	0.00	0.00	0.00	15.210	2.290	2.283	2.275	12.919	12.927	12.934	temporal-eval	temporal-bootstrap
low-snr-96	48	41	41	96	0.350	0.300	4.000	100.00	0.00	0.00	0.00	15.210	2.290	2.283	2.275	12.919	12.927	12.934	temporal-eval	temporal-bootstrap
low-snr-96	48	41	41	96	0.350	0.300	6.000	100.00	0.00	0.00	0.00	15.210	2.290	2.283	2.275	12.919	12.927	12.934	temporal-eval	temporal-bootstrap
baseline-128	48	41	41	128	0.300	0.350	2.000	100.00	0.00	0.00	0.00	23.202	2.727	2.735	2.728	20.475	20.467	20.474	temporal-eval	temporal-bootstrap
baseline-128	48	41	41	128	0.300	0.350	2.250	100.00	0.00	0.00	0.00	23.202	2.727	2.735	2.728	20.475	20.467	20.474	temporal-eval	temporal-bootstrap
baseline-128	48	41	41	128	0.300	0.350	2.500	100.00	0.00	0.00	0.00	23.202	2.727	2.735	2.728	20.475	20.467	20.474	temporal-eval	temporal-bootstrap
baseline-128	48	41	41	128	0.300	0.350	3.000	100.00	0.00	0.00	0.00	23.202	2.727	2.735	2.728	20.475	20.467	20.474	temporal-eval	temporal-bootstrap
baseline-128	48	41	41	128	0.300	0.350	4.000	100.00	0.00	0.00	0.00	23.202	2.727	2.735	2.728	20.475	20.467	20.474	temporal-eval	temporal-bootstrap
baseline-128	48	41	41	128	0.300	0.350	6.000	100.00	0.00	0.00	0.00	23.202	2.727	2.735	2.728	20.475	20.467	20.474	temporal-eval	temporal-bootstrap
middle-64-a	48	41	41	64	0.420	0.220	6.000	100.00	0.00	0.00	0.00	7.819	1.845	1.843	1.841	5.973	5.976	5.978	temporal-eval	temporal-bootstrap
